ID WHO city,iso3,country,city,pm10,Year,type_of_stations,pm10_type,pm25,pm25_type,reference,latitude,longitude,population,wbinc16_text,region,date_compiled,population_source,tempcov_PM10,tempcov_PM25,latitude_pop,longitude_pop,Region2,region_abbr,tempcov_PM10_grad,tempcov_PM25_grad,conc_pm25,color_pm25,conc_pm10,color_pm10
NA,ESP,Spain,Dulantzi,12.26388888,2016,1 Suburban-Background,Measured,6.297663111,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],42.84916666,-2.47722222,23822,High income,Eur_HI,2018,1 calculated,0.959016393,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,<10,green,<20,green
NA,ESP,Spain,Dumbria,13.95711139,2013,1 Suburban-Industrial,Measured,7.167154432,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],43.00888888,-9.11888888,3317,High income,Eur_HI,2018,1 manual,0.984817352,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,<10,green,<20,green
NA,ESP,Spain,Dumbria,12.51165182,2014,1 Suburban-Industrial,Measured,6.424892536,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],43.00888888,-9.11888888,3317,High income,Eur_HI,2018,1 manual,0.974429224,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,<10,green,<20,green
NA,ESP,Spain,Dumbria,13.77810354,2015,1 Suburban-Industrial,Measured,7.075231622,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],43.00888888,-9.11888888,3317,High income,Eur_HI,2018,1 manual,0.981164384,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,<10,green,<20,green
NA,ESP,Spain,Dumbria,11.33456804,2016,1 Suburban-Industrial,Measured,5.820445026,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],43.00888888,-9.11888888,3317,High income,Eur_HI,2018,1 manual,0.989640255,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,<10,green,<20,green
NA,ESP,Spain,Durango,23.26534872,2013,1 Urban-Industrial,Measured,11.94705283,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],43.17222222,-2.63583333,28806,High income,Eur_HI,2018,1 old database,1,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,20-<30,yellow
NA,ESP,Spain,Durango,19.59112426,2014,2 Urban-Industrial,Measured,9.16268656,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],43.17222222,-2.63583333,28806,High income,Eur_HI,2018,2 old database,0.964611872,0.764840183,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,<10,green,<20,green
NA,ESP,Spain,Durango,20.30542329,2015,2 Urban-Industrial,Measured,11.89693174,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],43.17222222,-2.63583333,28806,High income,Eur_HI,2018,2 old database,0.982990868,0.91152968,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,20-<30,yellow
NA,ESP,Spain,Durango,18.16266566,2016,1 Urban-Industrial,Measured,9.326760104,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],43.17222222,-2.63583333,28806,High income,Eur_HI,2018,1 old database,0.910519126,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,<10,green,<20,green
NA,ESP,Spain,Eivissa,21.05008387,2013,1 Suburban-Industrial,Measured,10.80948612,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],38.91382,1.41426,49693,High income,Eur_HI,2018,1 old database,0.952739726,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,20-<30,yellow
NA,ESP,Spain,Eivissa,23.93171985,2016,1 Suburban-Industrial,Measured,12.2892429,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],38.91382,1.41426,49693,High income,Eur_HI,2018,1 old database,0.952527322,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,20-<30,yellow
NA,ESP,Spain,El Brull,12.4057057,2016,1 Rural-Background,Measured,9.46716867,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],41.77934345,2.358018901,258,High income,Eur_HI,2018,1 manual,0.909836066,0.907103825,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,<10,green,<20,green
NA,ESP,Spain,El Ejido,28.43465909,2013,1 Urban-Background,Measured,14.60155954,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],36.76972,-2.81097,80839,High income,Eur_HI,2018,1 manual,0.964383562,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,20-<30,yellow
NA,ESP,Spain,El Ejido,28.16473988,2014,1 Urban-Background,Measured,14.46295259,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],36.76972,-2.81097,80839,High income,Eur_HI,2018,1 manual,0.947945206,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,20-<30,yellow
NA,ESP,Spain,El Ejido,26.97790055,2015,1 Urban-Background,Measured,13.85349548,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],36.76972,-2.81097,80839,High income,Eur_HI,2018,1 manual,0.991780822,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,20-<30,yellow
NA,ESP,Spain,El Ejido,27.19149424,2016,1 Urban-Background,Measured,13.96317856,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],36.76972,-2.81097,80839,High income,Eur_HI,2018,1 manual,0.950819672,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,20-<30,yellow
NA,ESP,Spain,El Grao De Castellon,15.83251819,2013,1 Suburban-Industrial,Measured,12.21782178,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],39.98194444,0.01055555,23822,High income,Eur_HI,2018,1 calculated,0.95696347,0.95696347,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,<20,green
NA,ESP,Spain,El Medano,25.01591117,2013,1 Urban-Industrial,Measured,8.98832684,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],28.047332,-16.536049,23822,High income,Eur_HI,2018,1 calculated,0.997260274,0.997488585,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,<10,green,20-<30,yellow
NA,ESP,Spain,El Medano,21.31134173,2014,1 Urban-Industrial,Measured,9.07437608,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],28.047332,-16.536049,23822,High income,Eur_HI,2018,1 calculated,0.923972603,0.923972603,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,<10,green,20-<30,yellow
NA,ESP,Spain,El Medano,30.06041042,2015,1 Urban-Industrial,Measured,12.66324648,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],28.047332,-16.536049,23822,High income,Eur_HI,2018,1 calculated,0.990182648,0.990182648,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,30-<50,darkred
NA,ESP,Spain,El Medano,24.15371148,2016,1 Urban-Industrial,Measured,10.53868596,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],28.047332,-16.536049,23822,High income,Eur_HI,2018,1 calculated,0.975409836,0.975523679,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,20-<30,yellow
NA,ESP,Spain,El Pont De Vilomara,24.86723549,2012,1 Rural-Background,Measured,12.76964209,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],41.70176599,1.87224076,3743,High income,Eur_HI,2018,1 manual,0.800546448,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,20-<30,yellow
NA,ESP,Spain,El Pueyo De Araguas,9.74928774,2012,1 Rural-Background,Measured,5.006383404,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],42.45778,0.18194,152,High income,Eur_HI,2018,1 manual,0.959016393,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,<10,green,<20,green
NA,ESP,Spain,El Pueyo De Araguas,6.6,2013,1 Rural-Background,Measured,3.389184046,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],42.45778,0.18194,152,High income,Eur_HI,2018,1 manual,0.849315069,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,<10,green,<20,green
NA,ESP,Spain,El Rio,26.69966267,2013,1 Suburban-Industrial,Measured,10.16209302,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],28.145093,-16.523687,23822,High income,Eur_HI,2018,1 calculated,0.981392694,0.98173516,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,20-<30,yellow
NA,ESP,Spain,El Rio,16.8210441,2014,1 Suburban-Industrial,Measured,6.7099537,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],28.145093,-16.523687,23822,High income,Eur_HI,2018,1 calculated,0.986187215,0.98630137,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,<10,green,<20,green
NA,ESP,Spain,El Rio,26.41957387,2015,1 Suburban-Industrial,Measured,9.94848981,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],28.145093,-16.523687,23822,High income,Eur_HI,2018,1 calculated,0.975114155,0.975114155,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,<10,green,20-<30,yellow
NA,ESP,Spain,El Rio,22.12884078,2016,1 Suburban-Industrial,Measured,8.79339227,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],28.145093,-16.523687,23822,High income,Eur_HI,2018,1 calculated,0.978142077,0.97859745,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,<10,green,20-<30,yellow
NA,ESP,Spain,Elche,23.7769134,2012,"1 Suburban-Background, 1 Urban-Traffic",Measured,12.20974781,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],38.25069444,-0.700138885,227417,High income,Eur_HI,2018,2 manual,0.844262296,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,20-<30,yellow
NA,ESP,Spain,Elche,20.48334957,2013,"1 Suburban-Background, 1 Urban-Traffic",Measured,10.51846084,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],38.25069444,-0.700138885,227417,High income,Eur_HI,2018,2 manual,0.860273973,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,20-<30,yellow
NA,ESP,Spain,Elche,22.10828025,2014,1 Suburban-Background,Measured,11.35288344,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],38.24222222,-0.68277777,227417,High income,Eur_HI,2018,1 manual,0.860273973,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,20-<30,yellow
NA,ESP,Spain,Elche,23.43413173,2015,1 Suburban-Background,Measured,12.03372506,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],38.24222222,-0.68277777,227417,High income,Eur_HI,2018,1 manual,0.915068493,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,20-<30,yellow
NA,ESP,Spain,Elche,20.17320261,2016,1 Suburban-Background,Measured,10.35919643,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],38.24222222,-0.68277777,227417,High income,Eur_HI,2018,1 manual,0.836065574,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,20-<30,yellow
NA,ESP,Spain,Elda,11.8633139,2013,1 Suburban-Background,Measured,8.50595388,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],38.45472222,-0.80333333,55575,High income,Eur_HI,2018,1 old database,0.901141553,0.901141553,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,<10,green,<20,green
NA,ESP,Spain,Elda,13.55455108,2014,1 Suburban-Background,Measured,9.07417956,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],38.45472222,-0.80333333,55575,High income,Eur_HI,2018,1 old database,0.921803653,0.921803653,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,<10,green,<20,green
